CurrentlyListed,Name,RFMOName,IMO,NNR,VesselType,GearType,Flag,IRCS,MMSI,GT,DWT,Length,YearOfBuild,Depth,BuiltIn,OwnerName,OperatorName,VesselStatus,IOTC,Reason,ICCAT,Reason,IATTC,Reason,WCPFC,Reason,CCAMLR,Reason,SEAFO,Reason,INTERPOL,Reason,NEAFC,Reason,NAFO,Reason,SPRFMO,Reason,CCSBT,Reason,GFCM,Reason,NPFC,Reason,SIOFA,Reason
True,EROS DOS,Eros Dos,8604668,37161PEXT,"Fishing Vessel, Fishery support vessel",,Panama,HO5115,,369.000,268,36.500,198912,5.820,"Hijos de J. Barreras S.A. - Vigo Yard/hull No.: 1499, Spain",Suarpesca SA,Suarpesca SA,In Service/commission,,,,,,,,,,,2008-02-29 - ,,,,2008-02-29 - ,,2008-08-04 - ,,,,,,2014-05 - ,,,,,
False,EVA,Eva,8522119,M-01039,Fishing Vessel,,Georgia,4LPH,,1898.000,690,62.260,198505,9.220,"VEB Volkswerft Stralsund - Stralsund Yard/hull No.: 677, German Democratic Republic",A B Bocyp Fishing Ltd,Northern Fishers Co (OOO 'Severnaya Rybolovetskaya Kompaniya'),Broken Up,,,,,,,,,,,2007-10-31 - 2009-11-13,,,,2004-10-04 - 2009-11-13,,2006-09-22 - 2009-11-13,NAFO Div. 1F,,,,,,,,,,
False,F/V EMILY,F/V Emily,,,,,St. Vincent and the Grenadines,,,,,,,,,Continental Ltd.,,,,,2005-11-20 - 2006-11-26,,,,,,,,,,,,,,,,,,,,,,,,,
True,FIT,No. 101 Gloria,7302548,,,Longline,Tanzania,5IM718,677061800,655.000,557,55.920,197302,4.050,"KK Kanasashi Zosen - Shizuoka SZ, Japan",Intera Company SA,Intera Company SA,In Service/commission,,,2006-11-26 - ,Vessels greater than 24m not included in ICCAT Record of Vessels. Seen fishing in the MED during closed season,,,,,,,,,,,,,,,,,,,2014-05 - ,,,,,
False,FLORENTINO,Daniela F,9130793,P-04-00943,Fishing Vessel,Purse seine,Ecuador,HC5240,735058912,3722.000,3706,107.500,199704,10.080,"Group Tomas A. Alonso 100, Apartado 35, 36208 Vigo (Pontevedra), H. J. Barreras, Spain","IMPORTEQ, S.A.",,In Service/commission,,,,,,,2007-12-07 - 2009-12-11,,,,,,,,,,,,,,,,,,,,,
False,FONG KUO NO. 819,Seed Leaf,8913992,42061-10-B,"Cargo vessel, Fish carrier",,Panama,3FCY3,370070000,5131.000,6523,115.000,199101,10.100,"Kitanihon Zosen K.K., Japan",F.K. OVERSEAS CORP.,FK Overseas Co Ltd,In Service/commission,,,,,,,,,2006-11-03 - 2008-11-07,Undocumented transhipment,2007-10-31 - 2008-11-07,,,,,,,,,,,,,,,,,
True,FU HSIANG FA 18,,,,,,,,,,,,,,,,,,2015-05-01 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
True,FU HSIANG FA NO. 01,,,,,,,,,,,,,,,,,,2014-06-05 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
True,FU HSIANG FA NO. 02,,,,,,,,,,,,,,,,,,2014-06-05 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
True,FU HSIANG FA NO. 06,,,,,,,,,,,,,,,,,,2014-06-05 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
